"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","log.volatile.acidity","log.chlorides","nonfree.sulfur.dioxide","log.density","log.pH","log.sulphates","log.alcohol","quality.binary "
"1",7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,-0.356674943938732,-2.57702193869581,23,-0.00220242355520004,1.25561603747777,-0.579818495252942,2.24070968927596,0
"2",7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,-0.127833371509885,-2.32278780031156,42,-0.00320513094894834,1.16315080980568,-0.385662480811985,2.28238238567653,0
"3",7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,-0.27443684570176,-2.3859667019331,39,-0.00300450902029872,1.18172719537862,-0.430782916092454,2.28238238567653,0
"4",11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,-1.27296567581289,-2.59026716544583,43,-0.00200200267067308,1.15057202759882,-0.544727175441672,2.28238238567653,0
"5",7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,-0.356674943938732,-2.57702193869581,23,-0.00220242355520004,1.25561603747777,-0.579818495252942,2.24070968927596,0
"6",7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,-0.415515443961666,-2.59026716544583,27,-0.00220242355520004,1.25561603747777,-0.579818495252942,2.24070968927596,0
"7",7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,-0.510825623765991,-2.67364877438488,44,-0.00360649559411174,1.19392246847243,-0.776528789498996,2.24070968927596,0
"8",7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,-0.430782916092454,-2.7333680090865,6,-0.00541463270149884,1.22082992139236,-0.755022584278033,2.30258509299405,1
"9",7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,-0.544727175441672,-2.61729583783375,9,-0.00320513094894834,1.21194097397511,-0.562118918153541,2.2512917986065,1
"10",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,-0.693147180559945,-2.64507540194082,85,-0.00220242355520004,1.20896034583698,-0.22314355131421,2.35137525716348,0
"11",6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,-0.544727175441672,-2.33304430047875,50,-0.00410842804454319,1.18784342239605,-0.616186139423817,2.21920348405499,0
"12",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,-0.693147180559945,-2.64507540194082,85,-0.00220242355520004,1.20896034583698,-0.22314355131421,2.35137525716348,0
"13",5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,-0.486133011175619,-2.41911890925,43,-0.00571630699610919,1.27536280041261,-0.653926467406664,2.29253475714054,0
"14",7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,-0.49429632181478,-2.17155683058764,20,-0.00260338587011493,1.18172719537862,0.444685821261446,2.2082744135228,0
"15",8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5,-0.478035800943,-1.73727128394399,93,-0.0014009809156281,1.15057202759882,-0.127833371509885,2.21920348405499,0
"16",8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5,-0.478035800943,-1.77195684193188,97,-0.0014009809156281,1.15373158788919,-0.0725706928348354,2.21920348405499,0
"17",8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7,-1.27296567581289,-2.3859667019331,68,-0.00310481495347876,1.19392246847243,-0.287682072451781,2.35137525716348,1
"18",8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5,-0.579818495252942,-0.999672340813206,40,-0.00320513094894834,1.13462272619114,0.246860077931526,2.23001440015921,0
"19",7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,-0.527632742082372,-2.45340798272863,23,-0.00260338587011493,1.21787570949493,-0.693147180559945,2.19722457733622,0
"20",7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,-1.13943428318836,-1.07587280169862,39,-0.00310481495347876,1.11185751541813,0.0769610411361284,2.21920348405499,0
"21",8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,-1.51412773262978,-2.56394985712845,31,-0.00320513094894834,1.22082992139236,-0.63487827243597,2.24070968927596,0
"22",7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,-0.941608539858445,-2.50103603171788,48,-0.00180162194662821,1.25846098961001,-0.430782916092454,2.27212588550934,0
"23",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,-0.843970070294529,-2.24431618487007,27,-0.00340579313483282,1.15373158788919,-0.0943106794712413,2.2512917986065,0
"24",8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,-0.713349887877465,-2.47693848013882,58,-0.00320513094894834,1.15373158788919,-0.63487827243597,2.24070968927596,0
"25",6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,-0.916290731874155,-2.46510402249182,19,-0.00320513094894834,1.23256026117785,-0.462035459596559,2.27212588550934,0
"26",6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,-0.941608539858445,-2.52572864430826,12,-0.00451015547788602,1.20597080698861,-0.579818495252942,2.23001440015921,0
"27",7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5,-0.891598119283784,-2.52572864430826,7,-0.00380723834295407,1.18784342239605,-0.527632742082372,2.2512917986065,0
"28",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,-0.843970070294529,-2.24431618487007,27,-0.00340579313483282,1.15373158788919,-0.0943106794712413,2.2512917986065,0
"29",7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,-0.342490308946776,-2.52572864430826,21,-0.00280392733273426,1.24415459395877,-0.59783700075562,2.24070968927596,0
"30",7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,-0.438504962186365,-2.50103603171788,8,-0.00360649559411174,1.21787570949493,-0.527632742082372,2.28238238567653,0
"31",6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,-0.393042588109607,-2.41911890925,65,-0.00420884477405468,1.20896034583698,-0.616186139423817,2.31253542384721,0
"32",6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6,-0.378336440719912,-2.25379492882461,15,-0.00340579313483282,1.24126858906963,-0.562118918153541,2.36085400111802,0
"33",8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,-0.423120043346885,-2.48891467118554,98,-0.00340579313483282,1.15373158788919,-0.415515443961666,2.28238238567653,0
"34",6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6,-0.502526820951296,-2.61729583783375,43,-0.000700245114393426,1.23837423104327,-0.653926467406664,2.24070968927596,0
"35",5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,-1.13943428318836,-2.2730262907525,37,-0.0043092715880984,1.21787570949493,-0.59783700075562,2.21920348405499,0
"36",7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,-0.438504962186365,-2.45340798272863,13,-0.0014009809156281,1.22377543162212,-0.59783700075562,2.26176309847379,0
"37",7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,-0.510825623765991,-2.45340798272863,12,-0.00250313021811848,1.22964055107451,-0.510825623765991,2.37954613413017,0
"38",8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,-0.967584026261706,-2.71810053695571,17,-0.00320513094894834,1.17248213723457,-0.3147107448397,2.27212588550934,1
"39",5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,0.122217632724249,-1.76026080216868,12,-0.00601807232556291,1.25276296849537,-0.7339691750802,2.28238238567653,0
"40",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,-0.798507696217772,-2.60369018577797,75,-0.00220242355520004,1.20297230399235,-0.186329578191493,2.35137525716348,0
"41",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,-0.798507696217772,-2.60369018577797,75,-0.00220242355520004,1.20297230399235,-0.186329578191493,2.35137525716348,0
"42",8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,-0.49429632181478,-2.43041846450393,29,-0.00240288461631031,1.18172719537862,-0.673344553263766,2.23001440015921,0
"43",7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,-0.713349887877465,-1.10262031006565,6,-0.00320513094894834,1.16627093714192,-0.105360515657826,2.35137525716348,0
"44",8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,-0.415515443961666,-2.67364877438488,14,-0.00320513094894834,1.19392246847243,0.182321556793955,2.33214389523559,0
"45",6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5,-0.400477566597125,-2.99573227355399,6,-0.00380723834295407,1.24703229378638,-0.653926467406664,2.2512917986065,0
"46",4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,-0.653926467406664,-2.91877123241786,57,-0.00662187630888697,1.3609765531356,-0.579818495252942,2.57261223020711,0
"47",7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,-0.06720874969345,-2.17155683058764,92,-0.00300450902029872,1.17865499634165,-0.3147107448397,2.21920348405499,0
"48",8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5,-1.23787435600162,-2.1803674602698,25,-0.00310481495347876,1.17865499634165,-0.544727175441672,2.2512917986065,0
"49",6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5,-0.916290731874155,-2.71810053695571,7,-0.00420884477405468,1.20597080698861,-0.579818495252942,2.21920348405499,0
"50",5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,-1.17118298150295,-2.60369018577797,84,-0.00461061255768329,1.1999647829284,-0.544727175441672,2.21920348405499,0
"51",8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,-0.415515443961666,-2.60369018577797,19,-0.00290421314738983,1.14740245283754,-0.301105092783922,2.21920348405499,0
"52",6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,-0.653926467406664,-2.67364877438488,7,-0.00440970848870007,1.22377543162212,-0.462035459596559,2.24070968927596,0
"53",6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6,-0.693147180559945,-2.68824757380603,8,-0.00451015547788602,1.22082992139236,-0.446287102628419,2.24070968927596,0
"54",8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,-0.967584026261706,-2.5133061243097,89,-0.00300450902029872,1.16315080980568,-0.579818495252942,2.24070968927596,0
"55",7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,-0.673344553263766,-2.20727491318972,40,-0.00451015547788602,1.15373158788919,-0.462035459596559,2.32238772029023,0
"56",7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5,-0.478035800943,-2.47693848013882,20,-0.00220242355520004,1.20597080698861,-0.63487827243597,2.2512917986065,0
"57",10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,-0.867500567704723,-2.65926003693278,6,-0.00290421314738983,1.11185751541813,-0.462035459596559,2.26176309847379,0
"58",7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5,-0.462035459596559,-2.1982250776698,60,-0.00170144663975757,1.18172719537862,-0.261364764134408,2.24070968927596,0
"59",7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,-0.527632742082372,-2.57702193869581,37,-0.00250313021811848,1.23256026117785,-0.527632742082372,2.30258509299405,0
"60",7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,-0.941608539858445,-2.60369018577797,37,-0.00380723834295407,1.22671229129543,-0.616186139423817,2.24070968927596,0
"61",8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5,-0.916290731874155,-2.53830742651512,33,-0.00200200267067308,1.23547147138531,-0.446287102628419,2.21920348405499,0
"62",7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,-0.371063681390832,-2.16282315061889,92,-0.00320513094894834,1.16627093714192,-0.342490308946776,2.23001440015921,0
"63",7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7,-0.653926467406664,-2.46510402249182,23,-0.00320513094894834,1.21787570949493,-0.478035800943,2.2512917986065,1
"64",7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,-0.3078847797693,-2.5133061243097,41,-0.00340579313483282,1.22082992139236,-0.562118918153541,2.28238238567653,0
"65",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,-0.321583624127462,-2.45340798272863,7,-0.00380723834295407,1.22671229129543,-0.941608539858445,2.3887627892351,0
"66",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,-0.321583624127462,-2.45340798272863,7,-0.00380723834295407,1.22671229129543,-0.941608539858445,2.3887627892351,0
"67",7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,-0.653926467406664,-2.53830742651512,28,-0.00320513094894834,1.22964055107451,-0.544727175441672,2.26176309847379,0
"68",6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,-0.349557476169868,-2.57702193869581,9,-0.00380723834295407,1.23547147138531,-0.544727175441672,2.37024374146786,0
"69",9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5,-1.13943428318836,-2.60369018577797,38,-0.00310481495347876,1.18784342239605,-0.23572233352107,2.37024374146786,0
"70",8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6,-0.349557476169868,-2.60369018577797,11,-0.00380723834295407,1.20597080698861,-0.0512932943875506,2.35137525716348,0
"71",7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6,-0.462035459596559,-2.57702193869581,12,-0.00330545700872648,1.1999647829284,-0.616186139423817,2.2512917986065,0
"72",7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5,-0.400477566597125,-2.43041846450393,79,-0.00380723834295407,1.1999647829284,-0.7339691750802,2.2512917986065,0
"73",7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,-0.371063681390832,-2.47693848013882,76,-0.00390762483101708,1.19694818938897,-0.7339691750802,2.2512917986065,0
"74",8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,-0.393042588109607,-2.47693848013882,32,-0.00240288461631031,1.19694818938897,-0.63487827243597,2.21920348405499,0
"75",9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5,-1.13943428318836,-2.36446049671213,55,-0.00160128136697388,1.18784342239605,-0.198450938723838,2.26176309847379,0
"76",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,-0.891598119283784,-2.37515578582888,33,-0.0014009809156281,1.26412672714568,-0.415515443961666,2.35137525716348,0
"77",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,-0.891598119283784,-2.37515578582888,33,-0.0014009809156281,1.26412672714568,-0.415515443961666,2.35137525716348,0
"78",6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6,-0.242071561199729,-2.26336437984076,16,-0.00340579313483282,1.25846098961001,-0.59783700075562,2.37024374146786,0
"79",6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5,-0.287682072451781,-2.45340798272863,68,-0.00420884477405468,1.21787570949493,-0.653926467406664,2.31253542384721,0
